county_fips,county_name,state,county_lat,county_lon,nearest_hospital_miles,nearest_hospital_minutes_est
08059,Jefferson County,CO,39.579511,-105.245462,8.223647162769975,14.097680850462815
08061,Kiowa County,CO,38.387663,-102.756849,6.579116936734367,11.278486177258916
08063,Kit Carson County,CO,39.30534,-102.603023,35.70917290041425,61.215724972138716
08065,Lake County,CO,39.205363,-106.350123,29.051891697447175,49.80324290990944
08067,La Plata County,CO,37.287367,-107.839718,3.1598236084480926,5.416840471625302
08069,Larimer County,CO,40.658093,-105.486764,23.32030129487534,39.977659362643436
08071,Las Animas County,CO,37.318831,-104.04411,52.977283366191614,90.81820005632848
08073,Lincoln County,CO,38.99374,-103.507555,52.6819685778861,90.31194613351903
08075,Logan County,CO,40.728091,-103.090464,10.506039144158619,18.01035281855763
08077,Mesa County,CO,39.019524,-108.460571,6.795604078206293,11.649606991210788
08079,Mineral County,CO,37.549069,-107.003235,50.08998855995535,85.86855181706632
08081,Moffat County,CO,40.610864,-108.217154,69.8283997518766,119.70582814607418
08083,Montezuma County,CO,37.338025,-108.595786,40.30188868326182,69.08895202844883
08085,Montrose County,CO,38.407507,-108.266282,22.0742604168529,37.841589286033546
08087,Morgan County,CO,40.262085,-103.807235,0.6360136871805373,1.0903091780237781
08089,Otero County,CO,37.88417,-103.72126,11.385422432885386,19.51786702780352
08091,Ouray County,CO,38.154731,-107.78848,22.896840126785097,39.2517259316316
08093,Park County,CO,39.118914,-105.717648,36.60071184106531,62.74407744182625
08095,Phillips County,CO,40.594712,-102.345105,45.951173659290504,78.77344055878372
08097,Pitkin County,CO,39.217541,-106.916162,30.710102551851254,52.64589008888787
08099,Prowers County,CO,37.958443,-102.391754,35.41386318313014,60.709479742508805
08101,Pueblo County,CO,38.162765,-104.484668,8.953565554500132,15.348969522000228
08103,Rio Blanco County,CO,39.972622,-108.200716,55.71082976163677,95.50427959137731
08105,Rio Grande County,CO,37.485853,-106.453128,31.288967027383247,53.63822918979985
08107,Routt County,CO,40.483664,-106.987702,9.193950719602578,15.76105837646156
08109,Saguache County,CO,38.031651,-106.234666,43.17258853681037,74.01015177738921
08111,San Juan County,CO,37.781049,-107.670257,38.36891673256249,65.77528582724999
08113,San Miguel County,CO,38.009319,-108.427263,44.44561682020664,76.1924859774971
08115,Sedgwick County,CO,40.871568,-102.355358,36.091260115452265,61.8707316264896
08117,Summit County,CO,39.621023,-106.137555,4.772132135304759,8.18079794623673
08119,Teller County,CO,38.869976,-105.187365,19.639732355292196,33.66811260907234
08121,Washington County,CO,39.96579,-103.209744,37.03014274402363,63.4802447040405
08123,Weld County,CO,40.555961,-104.383666,19.671579414438973,33.72270756760967
08125,Yuma County,CO,40.00077,-102.421649,36.41749386885673,62.42998948946869
09110,Capitol Planning Region,CT,41.81697,-72.575886,3.5626035489504315,6.107320369629312
09120,Greater Bridgeport Planning Region,CT,41.184558,-73.209401,1.2074347417012938,2.0698881286307893
09130,Lower Connecticut River Valley Planning Region,CT,41.420307,-72.493525,12.219986069020191,20.948547546891756
09140,Naugatuck Valley Planning Region,CT,41.518931,-73.087906,3.1997289362702097,5.485249605034645
09150,Northeastern Connecticut Planning Region,CT,41.842375,-71.972655,5.356666370620467,9.182856635349372
09160,Northwest Hills Planning Region,CT,41.854809,-73.221494,6.295650434951532,10.792543602774055
09170,South Central Connecticut Planning Region,CT,41.290167,-72.837024,5.20501114641774,8.92287625100184
09180,Southeastern Connecticut Planning Region,CT,41.484769,-72.101666,4.058324522619207,6.957127753061498
09190,Western Connecticut Planning Region,CT,41.279055,-73.44655,8.705507208871378,14.923726643779505
10001,Kent County,DE,39.097088,-75.502982,3.873066735703894,6.63954297549239
10003,New Castle County,DE,39.575915,-75.644132,7.822674867742233,13.4102997732724
10005,Sussex County,DE,38.673227,-75.337024,12.467467581286455,21.372801567919637
11001,District of Columbia,DC,38.904243,-77.016524,0.9391355646751077,1.6099466823001847
12001,Alachua County,FL,29.67574,-82.357221,2.6161600284115933,4.484845762991303
12003,Baker County,FL,30.324442,-82.302284,11.236291677386069,19.262214304090403
12005,Bay County,FL,30.15914,-85.534395,6.758983422099563,11.58682872359925
12007,Bradford County,FL,29.952386,-82.166698,3.9803728457934735,6.823496307074526
12009,Brevard County,FL,28.298311,-80.700333,2.880214923368013,4.937511297202309
12011,Broward County,FL,26.193535,-80.476683,10.370655137593127,17.778265950159646
12013,Calhoun County,FL,30.388801,-85.197915,10.041312395305898,17.213678391952968
12015,Charlotte County,FL,26.906358,-82.00363,3.2875895799426442,5.635867851330247
12017,Citrus County,FL,28.850293,-82.595551,7.2393945212052895,12.410390607780496
12019,Clay County,FL,29.986584,-81.865036,8.66057125596734,14.846693581658299
12021,Collier County,FL,26.118786,-81.400955,17.639156107500796,30.238553327144224
12023,Columbia County,FL,30.221651,-82.623371,2.0485092478632874,3.511730139194207
12027,DeSoto County,FL,27.190581,-81.806253,3.747213652661366,6.423794833133771
12029,Dixie County,FL,29.552675,-83.236232,44.6679138128727,76.5735665363532
12031,Duval County,FL,30.335245,-81.648113,1.3297260959877768,2.27953045026476
12033,Escambia County,FL,30.529998,-87.320322,6.176074567748516,10.587556401854599
12035,Flagler County,FL,29.474891,-81.286253,5.853684092263188,10.034887015308321
12037,Franklin County,FL,29.677794,-84.815213,11.124801373301537,19.07108806851692
12039,Gadsden County,FL,30.578687,-84.612607,3.8633205694637396,6.622835261937839
12041,Gilchrist County,FL,29.723456,-82.795801,23.432127385098457,40.16936123159736
12043,Glades County,FL,26.95481,-81.19082,20.777003582189256,35.617720426610155
12045,Gulf County,FL,29.859238,-85.272041,5.623196423450951,9.639765297344487
12047,Hamilton County,FL,30.498438,-82.951116,14.643637219587987,25.103378090722263
12049,Hardee County,FL,27.492846,-81.82158,2.957452670782588,5.069918864198723
12051,Hendry County,FL,26.539967,-81.152114,19.63548007590249,33.66082298726141
12053,Hernando County,FL,28.555995,-82.525969,1.4523699944364896,2.4897771333196967
12055,Highlands County,FL,27.34108,-81.342353,2.2218416730262294,3.8088714394735357
12057,Hillsborough County,FL,27.893154,-82.379991,5.7398256641811765,9.839701138596302
12059,Holmes County,FL,30.862007,-85.815939,10.52757814717695,18.047276823731913
12061,Indian River County,FL,27.700528,-80.574789,11.202121557852546,19.20363695631865
12063,Jackson County,FL,30.789249,-85.208814,1.9362553403058356,3.3192948690957182
12065,Jefferson County,FL,30.396898,-83.921761,19.241112625098907,32.984764500169554
12067,Lafayette County,FL,29.990066,-83.17851,23.305391325022665,39.95209941432457
12069,Lake County,FL,28.764113,-81.712282,4.115285439069717,7.054775038405229
12071,Lee County,FL,26.563273,-81.984182,5.856792679066471,10.040216021256807
12073,Leon County,FL,30.45931,-84.2778,0.9906462948113843,1.6982507911052303
12075,Levy County,FL,29.271854,-82.831233,25.382288916440963,43.51249528532737
12077,Liberty County,FL,30.259849,-84.86858,17.485495920754488,29.97513586415055
12079,Madison County,FL,30.447233,-83.470416,3.4957754621228054,5.992757935067667
12081,Manatee County,FL,27.475556,-82.393144,6.416472889511237,10.999667810590692
12083,Marion County,FL,29.202805,-82.0431,5.960299779622768,10.217656765067602
